USER_OVERALL_RATING,PREDICTED_OVERALL_RATING,CLEANLINESS,LOCATION,VALUE,ROOMS,SERVICE,SLEEP_QUALITY
5,5.0283,4,4,4,5,5,5
4,4.2453,4,4,4,4,5,3
4,4.5254,5,4,4,4,5,4
5,5.0424,4,5,4,4,5,5
5,4.7482,4,4,5,5,5,4
4,3.8606,4,4,4,4,4,4
5,4.7482,5,4,4,5,5,4
5,5.0283,4,4,4,5,5,5
5,4.7623,4,5,5,4,5,4
4,3.5805,4,4,4,4,4,3
5,4.7623,5,5,4,4,5,4
4,3.8606,4,4,4,4,4,4
5,4.8055,4,4,5,4,5,5
4,4.5254,4,4,5,4,5,4
5,4.7482,4,4,5,5,5,4
5,4.5254,5,4,5,4,5,4
5,4.7482,4,4,5,5,5,4
5,4.5254,4,4,4,4,5,4
2,1.8662,4,4,4,4,1,4
4,3.8606,4,4,4,4,4,4
5,4.7623,4,5,5,4,5,4
5,5.0283,4,4,4,5,5,5
5,5.0283,4,4,4,5,5,5
5,4.7482,4,4,5,5,5,4
5,4.9851,4,5,4,5,5,4
5,4.5254,5,4,5,4,5,4
4,3.8606,4,4,4,4,4,4
5,4.9851,4,5,4,5,5,4
5,4.7623,4,5,4,4,5,4
4,4.7623,4,5,4,4,5,4
4,4.7623,4,5,4,4,5,4
4,3.8606,4,4,4,4,4,4
5,4.8055,5,4,4,4,5,5
4,2.973,4,4,4,3,3,4
3,3.8606,4,4,4,4,4,4
4,3.1958,4,4,4,4,3,4
5,4.9851,4,5,4,5,5,4
4,4.5254,4,4,4,4,5,4
5,4.5254,4,4,4,4,5,4
4,3.8606,4,4,4,4,4,4
5,5.0283,4,4,4,5,5,5
5,3.8606,4,4,4,4,4,4
4,3.9793,3,5,5,3,5,2
5,4.7623,5,5,5,4,5,4
2,3.0458,1,2,2,2,5,2
1,0.8145,1,1,1,2,2,2
4,4.1407,5,4,4,4,4,5
4,3.8606,4,4,4,4,4,4
5,4.5254,5,4,5,4,5,4
3,2.6356,2,4,4,4,3,2
5,4.8055,4,4,5,4,5,5
3,3.6378,4,4,3,3,4,4
5,4.8055,4,4,4,4,5,5
4,3.8606,4,4,4,4,4,4
4,4.0834,4,4,3,5,4,4
4,4.5686,4,3,4,4,5,5
5,5.0424,4,5,4,4,5,5
2,1.8626,1,4,4,1,2,4
4,3.5805,4,4,5,4,4,3
4,3.8606,4,4,4,4,4,4
4,3.8606,4,4,3,4,4,4
5,4.5254,4,4,4,4,5,4
3,2.973,3,4,3,3,3,4
3,1.9531,3,3,2,2,3,2
4,4.5254,4,4,5,4,5,4
1,0.1206,2,3,2,1,1,1
1,-0.1163,1,2,1,1,1,1
1,1.1978,1,4,4,1,1,4
4,3.8606,4,4,4,4,4,4
5,4.5254,3,4,4,4,5,4
3,2.3082,3,4,4,3,2,4
3,2.9589,4,3,4,4,3,4
4,4.3026,4,4,4,3,5,4
5,4.3026,4,4,5,3,5,4
4,3.6378,4,4,4,3,4,4
3,3.6237,3,3,4,4,4,4
3,3.8606,3,4,3,4,4,4
1,1.1555,1,1,4,4,1,4
2,2.2941,4,3,2,4,2,4
5,4.8055,4,4,5,4,5,5
1,2.3555,4,4,2,4,3,1
4,3.6987,4,4,4,5,3,5
3,3.1958,4,4,4,4,3,4
1,1.5252,4,4,4,2,2,2
4,3.1958,2,4,3,4,3,4
5,4.7623,4,5,5,4,5,4
1,1.1978,1,4,4,1,1,4
1,1.3924,1,2,4,4,1,4
3,2.9589,3,3,4,4,3,4
4,4.5254,4,4,4,4,5,4
3,3.6378,4,4,4,3,4,4
1,1.9672,4,4,4,1,3,2
1,1.6871,4,4,4,1,3,1
3,4.0834,5,4,4,5,4,4
2,1.5252,4,4,4,2,2,2
5,4.5254,4,4,4,4,5,4
1,1.6116,4,2,4,2,2,4
2,1.6907,4,4,4,4,2,1
2,2.531,1,4,2,4,2,4
3,3.1958,2,4,4,4,3,4
5,5.0424,4,5,5,4,5,5
4,3.8606,4,4,4,4,4,4
3,4.0975,4,5,4,4,4,4
1,3.1958,1,4,3,4,3,4
5,4.8055,4,4,5,4,5,5
5,4.7482,4,4,5,5,5,4
