USER_OVERALL_RATING,PREDDICTED_OVERALL_RATING,CLEANLINESS,LOCATION,VALUE,ROOMS,SERVICE,SLEEP_QUALITY
5,4.9003,4,5,4,5,5,4
5,4.8164,4,4,5,4,5,5
5,4.9003,4,5,4,5,5,4
4,4.9401,5,4,4,4,5,5
5,4.9003,4,5,4,5,5,4
5,4.8164,4,4,5,4,5,5
4,3.8566,4,4,4,4,4,4
5,4.9791,4,5,4,4,5,5
5,4.4424,4,4,5,4,5,4
5,4.8128,4,5,5,4,5,4
5,4.5299,4,4,4,5,5,4
5,4.9039,4,4,4,5,5,5
4,4.9365,5,5,4,4,5,4
5,4.9401,5,4,4,4,5,5
5,4.8613,5,4,4,5,5,4
4,3.8566,4,4,4,4,4,4
3,3.4482,1,4,5,4,5,4
5,4.7376,4,4,5,5,5,4
5,4.2347,4,4,4,4,5,4
3,3.1471,3,4,4,4,3,4
2,1.5088,4,4,1,2,1,4
4,3.6081,3,4,4,3,5,4
3,4.027,4,4,3,4,5,4
4,3.8602,4,3,4,4,4,5
4,4.7738,5,4,5,4,5,4
5,4.7376,4,4,5,5,5,4
5,5.8134,5,5,5,5,5,5
1,1.2299,4,3,4,4,1,1
2,1.7994,4,4,2,1,2,4
4,3.9318,4,5,4,3,4,4
1,1.2206,1,4,4,1,2,4
5,4.5661,5,4,4,4,5,4
1,1.9779,4,3,4,4,1,3
2,1.982,4,3,4,4,2,2
3,3.2785,4,3,3,4,4,4
4,4.2347,4,4,4,4,5,4
3,2.9383,4,4,1,3,4,4
1,1.4831,1,4,1,4,2,4
3,2.0992,4,4,1,4,1,4
4,3.8566,4,4,4,4,4,4
4,4.1472,4,4,5,3,5,4
1,1.0099,4,4,4,2,1,1
1,1.2136,4,4,1,1,1,4
4,3.4785,4,4,4,4,3,4
1,0.988,4,1,1,4,1,4
3,3.6081,3,4,4,3,5,4
4,3.8566,4,4,4,4,4,4
1,1.629,4,4,3,1,1,4
2,2.2253,2,4,4,2,3,4
1,0.8425,1,4,4,1,1,4
3,2.9394,3,4,3,4,3,4
1,0.7147,4,4,4,1,1,1
5,4.6051,4,5,4,4,5,4
1,0.8425,1,4,4,1,1,4
1,0.988,4,1,1,4,1,4
5,4.9791,4,5,4,4,5,5
4,4.5584,5,5,4,4,4,4
5,4.9401,5,4,4,4,5,5
5,3.7691,4,4,5,3,4,4
5,4.9365,5,5,4,4,5,4
5,4.8164,4,4,5,4,5,5
