USER_OVERALL_RATING,PREDICTED_OVERALL_RATING,CLEANLINESS,LOCATION,VALUE,ROOMS,SERVICE,SLEEP_QUALITY
4,4.7522,4,4,4,4,5,5
4,4.8155,5,5,4,4,5,4
5,4.7522,4,4,4,5,5,5
5,4.7522,4,5,4,4,5,5
4,3.9063,4,4,4,4,4,4
5,5.0228,5,4,4,4,5,5
5,4.7522,4,4,4,4,5,5
5,4.7522,4,5,4,4,5,5
5,5.0377,4,4,5,4,5,5
4,3.9063,4,4,4,4,4,4
5,4.7522,4,4,4,4,5,5
5,4.7522,4,5,4,4,5,5
4,4.1918,4,5,5,4,4,4
5,5.101,5,4,5,4,5,4
5,4.8155,5,4,4,5,5,4
4,4.8304,4,5,5,4,5,4
5,4.8155,5,5,4,4,5,4
5,4.8155,5,4,4,5,5,4
4,3.3502,3,4,3,4,4,4
3,4.0037,2,3,4,4,5,4
5,4.7522,4,5,4,4,5,5
5,4.8304,4,5,5,4,5,4
4,4.5449,4,5,4,4,5,4
5,4.8304,4,5,5,4,5,4
1,1.134,4,4,1,1,1,4
5,4.8155,5,4,4,4,5,4
5,4.8304,4,5,5,4,5,4
5,5.3083,5,5,5,5,5,5
4,3.9063,4,3,4,3,4,4
1,1.1787,1,3,4,4,1,4
4,3.699,4,4,4,4,4,3
3,3.3502,3,4,3,4,4,4
4,4.5449,4,4,4,5,5,4
5,4.8155,5,4,4,4,5,4
4,4.4624,5,4,5,4,4,4
5,4.8304,4,4,5,4,5,4
1,0.5568,1,4,4,4,1,1
5,4.7522,4,4,4,5,5,5
4,3.5532,4,4,5,4,3,4
4,3.9063,4,4,4,4,4,4
4,4.8304,4,4,5,4,5,4
3,2.9971,3,3,4,4,3,4
4,4.6231,4,4,5,4,5,3
1,1.9905,4,4,4,4,1,4
5,4.5449,4,4,4,4,5,4
1,1.705,4,3,3,4,1,4
1,1.7726,4,4,1,1,2,4
5,3.2677,4,4,4,2,3,4
3,3.4917,4,4,4,2,4,2
4,2.9822,4,4,3,4,3,4
4,3.9063,4,4,4,4,4,4
3,2.0879,2,4,4,4,2,4
3,3.9063,4,4,4,4,4,4
4,3.9063,4,4,4,4,4,4
3,3.699,4,4,4,4,4,3
4,4.1918,4,4,5,4,4,4
5,4.5449,4,5,4,5,5,4
4,4.5449,4,4,4,3,5,4
3,3.0604,4,4,4,3,3,3
3,2.8531,4,4,4,4,3,2
1,1.1787,1,1,4,4,1,4
1,1.1787,1,4,4,1,1,4
1,1.1787,1,4,4,4,1,4
4,3.2677,4,4,4,4,3,4
5,4.8155,5,4,4,5,5,4
5,4.8155,5,5,4,4,5,4
5,4.1918,4,4,5,4,4,4
4,4.4624,5,4,5,4,4,4
5,3.699,4,4,4,4,4,3
4,4.5449,4,5,4,4,5,4
5,4.8155,5,5,4,4,5,4
5,4.5449,4,5,4,4,5,4
4,3.9063,4,4,4,4,4,4
