USER_OVERALL_RATING,PREDICTED_OVERALL_RATING,CLEANLINESS,LOCATION,VALUE,ROOMS,SERVICE,SLEEP_QUALITY
5,4.7355,5,4,4,4,5,5
5,4.8336,5,4,4,5,5,4
5,3.8079,4,4,3,4,4,4
5,4.8584,4,4,5,4,5,5
4,3.8079,4,4,3,4,4,4
4,4.7472,4,4,5,4,5,4
5,4.6243,5,5,4,4,5,4
4,4.5584,4,4,4,4,5,4
1,1.3501,4,4,4,1,1,1
3,4.3696,4,4,3,4,5,4
5,4.7472,4,5,5,4,5,4
3,3.9967,4,4,4,4,4,4
5,4.2514,5,4,5,4,4,4
5,4.3172,4,4,4,5,4,5
5,4.8336,5,4,4,5,5,4
5,4.1855,4,5,5,4,4,4
4,3.9967,4,4,4,4,4,4
4,3.9967,4,4,4,4,4,4
4,4.7472,4,4,5,4,5,4
4,4.7472,4,4,5,4,5,4
3,3.435,4,4,4,4,3,4
5,4.8584,4,4,5,4,5,5
4,3.9967,4,4,4,4,4,4
5,4.6243,5,5,4,4,5,4
3,3.2257,4,4,4,3,3,4
5,4.7677,4,5,4,5,5,4
5,4.9565,4,4,5,5,5,4
5,4.9565,4,4,5,5,5,4
5,4.7355,5,4,4,4,5,5
5,4.8584,4,4,5,4,5,5
5,4.7355,5,4,4,4,5,5
4,4.7355,5,4,4,4,5,5
5,4.7677,4,5,4,5,5,4
5,4.6243,5,4,4,4,5,4
4,3.9967,4,4,4,4,4,4
5,4.5584,4,5,4,4,5,4
5,4.8131,5,4,5,4,5,4
5,4.7472,4,4,5,4,5,4
5,4.1855,4,4,5,4,4,4
3,4.7472,4,4,5,4,5,4
3,3.135,4,4,3,4,3,3
5,4.1738,5,4,4,4,4,5
5,4.2719,5,4,4,5,4,4
4,4.6243,5,5,4,4,5,4
5,4.7677,4,5,4,5,5,4
4,4.8131,5,4,5,4,5,4
5,4.6696,4,5,4,4,5,5
3,2.6962,3,4,4,4,2,3
4,3.3121,5,4,3,4,3,4
5,4.7355,5,4,4,4,5,5
5,4.8789,4,4,4,5,5,5
4,3.7874,4,4,4,3,4,4
5,4.6243,5,5,4,4,5,4
4,3.9967,4,4,4,4,4,4
5,4.7472,4,4,5,4,5,4
5,4.8336,5,4,4,5,5,4
3,3.3238,4,4,4,4,3,3
5,4.6243,5,4,4,4,5,4
4,4.6696,4,5,4,4,5,5
5,4.7677,4,5,4,5,5,4
5,4.9565,4,4,5,5,5,4
4,3.9967,4,4,4,4,4,4
4,3.2257,4,4,4,3,3,4
5,4.7472,4,5,5,4,5,4
5,4.8584,4,4,5,4,5,5
5,4.8789,4,4,4,5,5,5
5,4.6696,4,5,4,4,5,5
5,4.206,4,4,4,5,4,4
5,4.5584,4,5,4,4,5,4
3,3.435,4,4,4,4,3,4
5,4.8584,4,4,5,4,5,5
4,3.9967,4,4,4,4,4,4
5,4.6243,5,5,4,4,5,4
3,3.2257,4,4,4,3,3,4
5,4.7677,4,5,4,5,5,4
5,4.9565,4,4,5,5,5,4
5,4.9565,4,4,5,5,5,4
5,4.7355,5,4,4,4,5,5
5,4.8584,4,4,5,4,5,5
5,4.7355,5,4,4,4,5,5
4,4.7355,5,4,4,4,5,5
5,4.7677,4,5,4,5,5,4
5,4.6243,5,4,4,4,5,4
4,3.9967,4,4,4,4,4,4
5,4.5584,4,5,4,4,5,4
5,4.8131,5,4,5,4,5,4
5,4.7472,4,4,5,4,5,4
5,4.1855,4,4,5,4,4,4
3,4.7472,4,4,5,4,5,4
3,3.135,4,4,3,4,3,3
5,4.1738,5,4,4,4,4,5
