USER_OVERALL_RATING,PREDICTED_OVERALL_RATING,CLEANLINESS,LOCATION,VALUE,ROOMS,SERVICE,SLEEP_QUALITY,,,,,,,
5,4.8031,5,4,5,4,5,4,,,,,,,
5,4.9621,5,5,4,5,5,5,,,,,,,
5,4.7962,5,4,4,4,5,5,,,,,,,
4,4.9614,5,4,5,4,5,5,,,,,,,
4,4.6379,5,5,4,4,5,4,,,,,,,
5,4.8221,4,4,4,5,5,5,,,,,,,
4,4.2626,5,4,4,4,4,5,,,,,,,
3,3.8578,4,4,3,4,5,1,,,,,,,
5,4.8031,5,4,5,4,5,4,,,,,,,
5,5.1273,5,5,5,5,5,5,,,,,,,
5,4.829,4,4,5,5,5,4,,,,,,,
5,4.6638,4,5,4,5,5,4,,,,,,,
5,4.8221,4,4,4,5,5,5,,,,,,,
4,4.4972,4,4,5,3,5,4,,,,,,,
4,3.7991,4,5,3,4,4,4,,,,,,,
5,4.829,4,4,5,5,5,4,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
5,4.829,4,4,5,5,5,4,,,,,,,
5,4.829,4,4,5,5,5,4,,,,,,,
5,4.2695,5,4,5,4,4,4,,,,,,,
3,3.9643,4,5,4,4,4,4,,,,,,,
4,4.4979,4,4,4,4,5,4,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
5,4.6631,4,5,5,4,5,4,,,,,,,
3,3.0996,4,4,3,3,3,4,,,,,,,
5,4.6379,5,4,4,4,5,4,,,,,,,
5,4.1302,4,4,4,5,4,4,,,,,,,
5,4.8221,4,4,4,5,5,5,,,,,,,
4,4.6562,4,3,4,4,5,5,,,,,,,
4,4.2626,5,4,4,4,4,5,,,,,,,
5,4.829,4,4,5,5,5,4,,,,,,,
5,4.7962,5,4,4,4,5,5,,,,,,,
5,4.6379,5,5,4,4,5,4,,,,,,,
5,4.7962,5,4,4,4,5,5,,,,,,,
5,4.1043,5,4,4,4,4,4,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
4,4.6379,5,5,4,4,5,4,,,,,,,
4,3.9643,4,5,4,4,4,4,,,,,,,
5,4.5238,3,5,4,5,5,4,,,,,,,
4,4.6379,5,5,4,4,5,4,,,,,,,
5,4.969,5,5,5,5,5,4,,,,,,,
5,4.8221,4,4,4,5,5,5,,,,,,,
5,4.6638,4,5,4,5,5,4,,,,,,,
5,4.7962,5,4,4,4,5,5,,,,,,,
5,4.8031,5,4,5,4,5,4,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
5,4.1226,4,5,4,4,4,5,,,,,,,
5,4.6631,4,5,5,4,5,4,,,,,,,
5,4.7962,5,4,4,4,5,5,,,,,,,
5,4.8038,5,4,4,5,5,4,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
5,4.6379,5,5,4,4,5,4,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
4,4.332,4,5,4,3,5,4,,,,,,,
3,3.1324,3,4,4,4,3,3,,,,,,,
4,3.9643,4,4,4,4,4,4,,,,,,,
5,4.829,4,4,5,5,5,4,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
5,4.829,4,4,5,5,5,4,,,,,,,
5,4.829,4,4,5,5,5,4,,,,,,,
4,4.4972,4,4,5,3,5,4,,,,,,,
4,3.7991,4,5,3,4,4,4,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
3,4.1737,4,4,4,3,5,3,,,,,,,
5,4.8038,5,4,4,5,5,4,,,,,,,
5,4.6631,4,4,5,4,5,4,,,,,,,
5,4.6562,4,4,4,4,5,5,,,,,,,
4,3.806,4,4,4,4,4,3,,,,,,,
4,3.9643,4,4,4,4,4,4,,,,,,,
5,4.4979,4,5,4,4,5,4,,,,,,,
5,4.829,4,4,5,5,5,4,,,,,,,
5,4.6562,4,4,4,4,5,5,,,,,,,
5,4.6631,4,4,5,4,5,4,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
5,4.829,4,4,5,5,5,4,,,,,,,
5,4.8031,5,4,5,4,5,4,,,,,,,
5,4.8038,5,4,4,5,5,4,,,,,,,
5,4.8031,5,4,5,4,5,4,,,,,,,
4,4.1043,5,4,4,4,4,4,,,,,,,
5,4.6638,4,5,4,5,5,4,,,,,,,
5,4.8031,5,4,5,4,5,4,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
4,3.9643,4,4,4,4,4,4,,,,,,,
5,4.6562,4,4,4,4,5,5,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
5,4.6638,4,4,4,5,5,4,,,,,,,
5,4.6631,4,5,5,4,5,4,,,,,,,
3,3.7984,4,3,4,3,4,4,,,,,,,
5,4.6631,4,4,5,4,5,4,,,,,,,
5,4.6631,4,5,5,4,5,4,,,,,,,
2,4.4979,4,3,4,4,5,4,,,,,,,
5,4.6631,4,5,5,4,5,4,,,,,,,
5,4.7962,5,4,4,4,5,5,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
4,3.2907,3,5,4,4,3,4,,,,,,,
4,4.5048,4,4,5,4,5,3,,,,,,,
5,4.6638,4,5,4,5,5,4,,,,,,,
5,4.8038,5,4,4,5,5,4,,,,,,,
4,4.6562,4,4,4,4,5,5,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
5,4.4979,4,5,4,4,5,4,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
5,4.4979,4,5,4,4,5,4,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
5,4.8221,4,4,4,5,5,5,,,,,,,
5,4.6638,4,4,4,5,5,4,,,,,,,
5,4.829,4,4,5,5,5,4,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
5,4.829,4,4,5,5,5,4,,,,,,,
5,4.7962,5,4,4,4,5,5,,,,,,,
5,4.6379,5,5,4,4,5,4,,,,,,,
5,4.7962,5,4,4,4,5,5,,,,,,,
5,4.1043,5,4,4,4,4,4,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
5,4.8214,4,4,5,4,5,5,,,,,,,
5,4.8221,4,4,4,5,5,5,,,,,,,
5,4.6631,4,5,5,4,5,4,,,,,,,
5,4.4979,4,5,4,4,5,4,,,,,,,
5,4.829,4,4,5,5,5,4,,,,,,,
5,4.6631,4,4,5,4,5,4,,,,,,,
5,4.6562,4,4,4,4,5,5,,,,,,,
5,4.6379,5,5,4,4,5,4,,,,,,,
3,3.2648,4,3,4,3,3,4,,,,,,,
5,4.7962,5,4,4,4,5,5,,,,,,,
5,4.6631,4,5,5,4,5,4,,,,,,,
5,4.829,4,4,5,5,5,4,,,,,,,
5,4.8031,5,4,5,4,5,4,,,,,,,
5,4.8031,5,4,5,4,5,4,,,,,,,
5,4.8221,4,4,4,5,5,5,,,,,,,
5,4.6638,4,5,4,5,5,4,,,,,,,
4,4.7962,5,4,4,4,5,5,,,,,,,
5,4.6379,5,5,4,4,5,4,,,,,,,
5,4.6638,4,5,4,5,5,4,,,,,,,
5,4.6638,4,5,4,5,5,4,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
5,4.8038,5,4,4,5,5,4,,,,,,,
5,4.8214,4,4,5,4,5,5,,,,,,,
5,4.829,4,4,5,5,5,4,,,,,,,
5,4.8221,4,4,4,5,5,5,,,,,,,
5,4.7962,5,4,4,4,5,5,,,,,,,
5,4.6379,5,5,4,4,5,4,,,,,,,
5,4.6562,4,4,4,4,5,5,,,,,,,
5,4.6562,4,4,4,4,5,5,,,,,,,
5,4.1226,4,5,4,4,4,5,,,,,,,
5,4.1043,5,5,4,4,4,4,,,,,,,
5,4.6562,4,5,4,4,5,5,,,,,,,
5,4.8221,4,4,4,5,5,5,,,,,,,
5,4.8214,4,4,5,4,5,5,,,,,,,
5,4.8031,5,4,5,4,5,4,,,,,,,
5,4.4979,4,5,4,4,5,4,,,,,,,
5,4.5055,4,4,4,5,5,3,,,,,,,
5,4.6379,5,5,4,4,5,4,,,,,,,
4,4.6631,4,3,5,4,5,4,,,,,,,
5,5.1273,5,5,5,5,5,5,,,,,,,
5,4.6562,4,4,4,4,5,5,,,,,,,
5,5.1273,5,5,5,5,5,5,,,,,,,
5,5.1273,5,3,5,5,5,5,,,,,,,
5,4.9621,5,4,4,5,5,5,,,,,,,
4,3.43,4,5,5,3,3,4,,,,,,,
4,4.1043,5,4,4,4,4,4,,,,,,,
5,5.1273,5,5,5,5,5,5,,,,,,,
4,4.1043,5,4,4,4,4,4,,,,,,,
5,5.1273,5,5,5,5,5,5,,,,,,,
5,5.1273,5,5,5,5,5,5,,,,,,,
5,4.8221,4,4,4,5,5,5,,,,,,,
4,3.9643,4,4,4,4,4,4,,,,,,,
5,4.6379,5,5,4,4,5,4,,,,,,,
5,4.6631,4,5,5,4,5,4,,,,,,,
5,4.8214,4,4,5,4,5,5,,,,,,,
5,4.6379,5,5,4,4,5,4,,,,,,,
4,4.5937,5,5,5,5,4,5,,,,,,,
4,3.7991,4,4,3,4,4,4,,,,,,,
5,5.1273,5,5,5,5,5,5,,,,,,,
5,5.1273,5,5,5,5,5,5,,,,,,,
5,4.6379,5,5,4,4,5,4,,,,,,,
4,4.2885,4,5,4,5,4,5,,,,,,,
5,5.1273,5,5,5,5,5,5,,,,,,,
