USER_OVERALL_RATING,PREDICTED_OVERALL_RATING,CLEANLINESS,LOCATION,VALUE,ROOMS,SERVICE,SLEEP_QUALITY,,,,,,,
5,4.6241,4,5,4,4,5,5,,,,,,,
5,4.7478,4,4,5,4,5,5,,,,,,,
5,4.7478,4,4,5,4,5,5,,,,,,,
5,4.5349,5,5,4,4,5,4,,,,,,,
5,4.8839,4,4,4,5,5,5,,,,,,,
5,4.7529,4,5,5,4,5,4,,,,,,,
5,4.7529,4,5,5,4,5,4,,,,,,,
5,4.1223,4,5,4,4,4,5,,,,,,,
5,4.8839,4,4,4,5,5,5,,,,,,,
3,3.0829,4,4,4,3,3,4,,,,,,,
3,3.2484,2,2,4,4,3,4,,,,,,,
5,4.5298,5,4,4,4,5,5,,,,,,,
5,4.7947,4,4,4,5,5,4,,,,,,,
5,4.5298,5,4,4,4,5,5,,,,,,,
5,4.7947,5,4,4,5,5,4,,,,,,,
5,4.7478,4,4,5,4,5,5,,,,,,,
4,3.9388,4,4,4,4,4,4,,,,,,,
5,5.0127,4,4,5,5,5,4,,,,,,,
4,3.437,4,4,4,4,3,4,,,,,,,
5,4.8839,4,4,4,5,5,5,,,,,,,
5,4.7529,4,5,5,4,5,4,,,,,,,
2,2.1327,4,3,4,2,2,4,,,,,,,
3,4.3169,4,5,3,4,5,4,,,,,,,
4,3.9973,4,4,4,3,5,3,,,,,,,
4,3.8496,4,4,4,4,4,3,,,,,,,
5,4.7478,4,4,5,4,5,5,,,,,,,
5,4.6586,4,4,5,4,5,4,,,,,,,
5,4.7947,5,4,4,5,5,4,,,,,,,
5,4.7947,5,4,4,5,5,4,,,,,,,
5,4.8839,4,4,4,5,5,5,,,,,,,
5,4.6586,5,4,5,4,5,4,,,,,,,
5,4.5349,5,5,4,4,5,4,,,,,,,
5,4.8839,4,4,4,5,5,5,,,,,,,
4,4.4406,4,4,4,4,5,4,,,,,,,
5,4.889,4,5,4,5,5,4,,,,,,,
5,4.7529,4,5,5,4,5,4,,,,,,,
4,4.4406,4,4,4,4,5,4,,,,,,,
5,4.6586,5,4,5,4,5,4,,,,,,,
5,4.5298,5,4,4,4,5,5,,,,,,,
5,4.5298,5,4,4,4,5,5,,,,,,,
5,5.0127,4,4,5,5,5,4,,,,,,,
4,3.9388,5,4,4,4,4,4,,,,,,,
5,4.6586,5,4,5,4,5,4,,,,,,,
5,4.7947,5,4,4,5,5,4,,,,,,,
5,4.7478,4,4,5,4,5,5,,,,,,,
4,3.9388,4,4,4,4,4,4,,,,,,,
5,5.0127,4,4,5,5,5,4,,,,,,,
4,3.219,3,4,3,4,3,4,,,,,,,
5,4.7478,4,4,5,4,5,5,,,,,,,
5,4.6586,4,4,5,4,5,4,,,,,,,
5,5.0127,4,4,5,5,5,4,,,,,,,
5,4.889,4,5,4,5,5,4,,,,,,,
5,4.5298,5,4,4,4,5,5,,,,,,,
5,4.7947,5,4,4,5,5,4,,,,,,,
4,4.5298,4,4,4,4,5,5,,,,,,,
5,4.6586,4,4,5,4,5,4,,,,,,,
3,3.6265,1,3,3,4,4,4,,,,,,,
5,4.5298,5,4,4,4,5,5,,,,,,,
5,5.1962,5,5,5,5,5,5,,,,,,,
5,4.6637,5,5,5,4,5,3,,,,,,,
4,4.1223,3,5,4,4,4,5,,,,,,,
5,5.1962,5,5,5,5,5,5,,,,,,,
5,4.5298,4,4,4,4,5,5,,,,,,,
5,3.9388,4,4,4,4,4,4,,,,,,,
5,4.7478,4,4,5,4,5,5,,,,,,,
5,4.6241,4,5,4,4,5,5,,,,,,,
5,4.5349,4,5,4,4,5,4,,,,,,,
4,3.8496,4,4,4,4,4,3,,,,,,,
5,5.1019,5,4,5,5,5,5,,,,,,,
5,4.7478,4,4,5,4,5,5,,,,,,,
5,4.7529,4,5,5,4,5,4,,,,,,,
5,4.4406,5,4,4,4,5,4,,,,,,,
2,4.0331,4,5,4,4,4,4,,,,,,,
5,4.6586,5,4,5,4,5,4,,,,,,,
5,4.5349,5,5,4,4,5,4,,,,,,,
5,4.7478,4,4,5,4,5,5,,,,,,,
2,0.8928,4,4,1,2,1,2,,,,,,,
5,3.9388,4,4,4,4,4,4,,,,,,,
5,5.1962,5,5,5,5,5,5,,,,,,,
5,4.6241,4,5,4,4,5,5,,,,,,,
5,5.1962,5,5,5,5,5,5,,,,,,,
5,5.1962,5,5,5,5,5,5,,,,,,,
5,5.1962,5,5,5,5,5,5,,,,,,,
5,5.1962,5,5,5,5,5,5,,,,,,,
5,4.3821,5,4,4,5,4,5,,,,,,,
3,2.846,3,4,4,4,2,3,,,,,,,
3,3.2775,3,4,3,3,4,3,,,,,,,
4,4.0331,5,5,4,4,4,4,,,,,,,
5,4.7478,4,4,5,4,5,5,,,,,,,
5,5.1962,5,5,5,5,5,5,,,,,,,
3,3.094,3,3,3,3,4,2,,,,,,,
5,4.9782,5,5,4,5,5,5,,,,,,,
4,3.7259,4,5,3,4,4,3,,,,,,,
4,3.8151,4,5,3,4,4,4,,,,,,,
5,5.1962,4,5,5,5,5,5,,,,,,,
5,4.7947,5,4,4,5,5,4,,,,,,,
5,3.7208,4,4,3,4,4,4,,,,,,,
5,3.9388,5,4,4,4,4,4,,,,,,,
4,4.0331,5,5,4,4,4,4,,,,,,,
5,4.5298,5,4,4,4,5,5,,,,,,,
5,4.6586,4,4,5,4,5,4,,,,,,,
5,4.8839,4,4,4,5,5,5,,,,,,,
5,4.5349,4,5,4,4,5,4,,,,,,,
5,4.8839,4,4,4,5,5,5,,,,,,,
4,4.0331,4,5,4,4,4,4,,,,,,,
1,1.3711,1,4,4,1,1,4,,,,,,,
5,5.1962,5,5,5,5,5,5,,,,,,,
5,5.107,5,5,5,5,5,4,,,,,,,
4,4.0142,3,5,5,5,3,3,,,,,,,
5,5.1962,5,5,5,5,5,5,,,,,,,
4,4.1223,4,5,4,4,4,5,,,,,,,
5,4.7529,4,5,5,4,5,4,,,,,,,
5,4.6586,5,4,5,4,5,4,,,,,,,
4,4.4406,4,4,4,4,5,4,,,,,,,
5,4.4406,4,4,4,4,5,4,,,,,,,
5,4.5349,5,5,4,4,5,4,,,,,,,
5,4.8839,4,4,4,5,5,5,,,,,,,
5,4.7529,4,5,5,4,5,4,,,,,,,
4,3.9388,4,4,4,4,4,4,,,,,,,
5,4.5349,5,5,4,4,5,4,,,,,,,
5,4.6241,4,5,4,4,5,5,,,,,,,
4,4.1568,4,4,5,4,4,4,,,,,,,
4,4.1568,4,4,5,4,4,4,,,,,,,
4,3.9388,4,4,4,4,4,4,,,,,,,
